QUIZ BASE 2022 PATENTE NAUTICA;None;RISPOSTA 1                    V/F;RSPOSTA 2                        V/F;RISPOSTA 3                         V/F;
1;None;Com'e' denominata la massima lunghezza dell'unita' navale, cioe' quella misurata tra le estremita' prodiera e poppiera?;lunghezza tra le perpendicolari.;F;lunghezza al galleggiamento.;F;lunghezza fuori tutto.;V
2;None;Cosa si intende per asse longitudinaledi un'unita' navale?;l'asse di rotazione di riferimento per il movimento di beccheggio.;F;l'asse passante per la prua e la poppa, parallelo alla chiglia.;V;l'asse orizzontale compreso tra le due murate, posto perpendicolarmente a quello trasversale.;F
3;None;Quale funzione svolge la sentina di un'unita' navale?;contenere il carburante.;F;contenere le acque sporche e i residui liquidi.;V;contenere le acque dolci.;F
4;None;Le murate sono:;la porzione esterna e laterale dello scafo (opera morta) che si estende tra la prora e la poppa.;V;la superficie laterale verticale della tuga dell'unita' navale.;F;la paratia divisoria verticale che separa due locali posti all'interno dello scafo.;F
5;None;Cos'e' il ponte di coperta?;il ponte che si estende longitudinalmente e trasversalmente, in modo continuo, racchiudendo interamente lo scafo.;V;la superficie orizzontale atta a ricoprire la parte piu' alta dell'unita'.;F;la struttura che ricopre le cabine.;F
6;None;Cosa si intende per prua dell'unita'?;la parte priva di  spigoli  dello scafo.;F;la parte estrema posteriore dello scafo.;F;la porzione anteriore posta all'estremita' dell'unita'.;V
7;None;Cosa si intende per poppa di un'unita'?;lla parte piu' arrotondata dello scafo.;F;la porzione posteriore posta all'estremita' dello scafo.;V;la porzione estrema anteriore dello scafo.;F
8;None;Cosa si intende per specchio di poppa di un'unita'?;la porzione esterna e superiore della poppa.;V;la paratia interna che separa gli organi del timone dal resto delle cabine.;F;la superficie verticale interna del poz;F
9;None;Cosa si intende per locale macchine o locale apparato motore di un'unita'?;l'ambiente di bordo dove sono sistemati i motori principali e la gran parte dei sistemi ausiliari.;V;il locale di bordo, generalmente situato a poppa, individuato come garage.;F;l'ambiente dovo sono collocati esclusivamente i sistemi ausiliari.;F
10;1;Con riferimento alla figura, quale porzione dello scafo e' indicata dalle linee trasversali?;specchio di poppa.;F;opera viva.;V;opera morta.;F
11;2;Con riferimento al disegno rappresentato in figura, quale porzione dello scafo e' indicata dalle linee trasversali?;opera morta.;V;specchio di poppa.;F;opera viva.;F
12;None;Da cosa dipende la coppia di stabilita' di forma di un'unita' navale?;dal peso.;F;dalla forma della carena.;V;dalla lunghezza tra le perpendicolari.;F
13;None;Gli elementi che suddividono lo scafo in senso trasversale, sono:;le paratie.;V;gli osteriggi.;F;i boccaporti.;F
14;None;Lo specchio di poppa e':;la parte della poppa al di sopra del dritto di poppa.;V;l'apertura della poppa negli scafi autosvuotanti.;F;il fondo del pozzetto in cui e' alloggiata la barra del timone.;F
15;None;La parte emersa dell'unita' e' denominata:;sezione maestra.;F;opera morta.;V;opera viva.;F
16;None;La parte sommersa dell'unita' e' denominata:;opera viva.;V;opera morta.;F;bordo libero.;F
17;None;"La ""galloccia"" e':";un foro per l'uscita dell'acqua dal pozzetto.;F;un sistema per tendere le draglie.;F;un appiglio per rinviare e/o dare volta al cavo di ormeggio oppure ad una cima di bordo (come drizze/scotte).;V
18;None;La bitta e':;un foro per l'uscita dell'acqua dal pozzetto.;F;un tornichetto per tendere le draglie.;F;bassa e robusta colonnetta, generalmenete con una testa a fungo, posta sulle banchine e sui ponti delle navi per legarvi le catene o i cavi di ormeggio;V
19;None;Il gavone di un'imbarcazione da diporto e':;il vano-ripostiglio, sia di prora sia di poppa.;V;quella parte curva dello scafo prossima alla prora.;F;quella parte arrotondata dello scafo prima della poppa.;F
20;None;La freccia verso l'unita' rappresentata in figura a fianco indica il:;mascone di sinistra.;V;giardinetto di sinistra.;F;dritto di prora.;F
21;None;La freccia verso l'unita' rappresentata in figura a fianco indica il:;mascone di dritta.;V;giardinetto di dritta.;F;dritto di prora.;F
22;None;Il pescaggio di un'imbarcazione e':;la distanza verticale tra la linea di galleggiamento e il punto inferiore estremo dello scafo.;V;il peso totale della nave.;F;la distanza tra la chiglia dell'unita' e il fondo del mare.;F
23;None;L'ordinata maestra e' quella:;di maggior spessore.;F;che corrisponde alla sezione maestra dello scafo dell'unita'.;V;indicata con il numero 1.;F
24;None;La freccia verso l'unita' rappresentata in figura a fianco indica il:;giardinetto di dritta.;V;babordo.;F;mascone di dritta.;F
25;None;La freccia verso l'unita' rappresentata in figura a fianco indica il:;giardinetto di sinistra.;V;babordo.;F;mascone di sinistra.;F
26;None;L'ombrinale e':;il foro attraverso cui passa la catena dell'ancora quando viene dato fondo.;F;la parte piu' bassa dello scafo, immediatamente al di sotto del motore, dove si raccolgono eventuali perdite di fluidi.;F;una piccola apertura per far defluire l'acqua presente in coperta o nel pozzetto;V
27;None;La sentina di un'unita' e' lo spazio compreso tra:;la poppa e la prima paratia.;F;la dritta e la sinistra dell'unita'.;F;il fondo all'interno dello scafo e il pagliolo (o pagliolato).;V
28;None;La linea che separa l'opera viva dall'opera morta e' denominata:;linea di bordo libero.;F;linea di galleggiamento.;V;linea di chiglia.;F
29;None;Come si chiama il pavimento interno di un'imbarcazione da diporto?;murata.;F;pagliolato.;V;dormiente.;F
30;None;La battagliola e':;un'apertura praticata in coperta.;F;un punto specifico della murata ove appoggiare i parabordi tutte le volte che si esegue l'ormeggio di fianco.;F;una sorta di ringhiera laterale per aiutare il passaggio tra poppa e prora.;V
31;None;Quale affermazione, tra le seguenti, e' corretta:;l'insieme di draglie e candelieri costituisce la battagliola a protezione del camminamento per il passaggio tra poppa e prora.;V;la stazza esprime la larghezza totale della scafo.;F;l'opera viva e' la parte emersa dello scafo.;F
32;None;Lo scafo di un'unita' da diporto e' la:;sezione maestra dell'opera morta.;F;sezione maestra dell'opera viva.;F;struttura che costituisce il guscio dell'unita'.;V
